Country;Articles;Freq;SCP;MCP;MCP_Ratio
CHINA                   ;4701;1.80e-01;3921;780;0.1659
USA                     ;4553;1.74e-01;3568;985;0.2163
ITALY                   ;3180;1.22e-01;2637;543;0.1708
INDIA                   ;1407;5.39e-02;1167;240;0.1706
FRANCE                  ;1165;4.46e-02; 955;210;0.1803
CANADA                  ; 758;2.90e-02; 512;246;0.3245
SPAIN                   ; 753;2.88e-02; 592;161;0.2138
IRAN                    ; 687;2.63e-02; 556;131;0.1907
GERMANY                 ; 626;2.40e-02; 434;192;0.3067
AUSTRALIA               ; 617;2.36e-02; 398;219;0.3549
BRAZIL                  ; 546;2.09e-02; 428;118;0.2161
TURKEY                  ; 498;1.91e-02; 420; 78;0.1566
SINGAPORE               ; 490;1.88e-02; 401; 89;0.1816
UNITED KINGDOM          ; 426;1.63e-02; 321;105;0.2465
JAPAN                   ; 401;1.54e-02; 345; 56;0.1397
KOREA                   ; 375;1.44e-02; 328; 47;0.1253
SWITZERLAND             ; 346;1.32e-02; 198;148;0.4277
NETHERLANDS             ; 300;1.15e-02; 186;114;0.3800
BELGIUM                 ; 250;9.57e-03; 157; 93;0.3720
GREECE                  ; 205;7.85e-03; 149; 56;0.2732
PAKISTAN                ; 198;7.58e-03; 141; 57;0.2879
ISRAEL                  ; 195;7.47e-03; 143; 52;0.2667
IRELAND                 ; 191;7.31e-03; 164; 27;0.1414
SAUDI ARABIA            ; 187;7.16e-03; 102; 85;0.4545
POLAND                  ; 164;6.28e-03; 120; 44;0.2683
MEXICO                  ; 156;5.97e-03; 119; 37;0.2372
HONG KONG               ; 148;5.67e-03;  96; 52;0.3514
THAILAND                ; 145;5.55e-03;  39;106;0.7310
EGYPT                   ; 130;4.98e-03;  83; 47;0.3615
SWEDEN                  ; 124;4.75e-03;  76; 48;0.3871
MALAYSIA                ; 122;4.67e-03;  98; 24;0.1967
PORTUGAL                ; 119;4.56e-03;  89; 30;0.2521
AUSTRIA                 ; 117;4.48e-03;  63; 54;0.4615
SOUTH AFRICA            ; 101;3.87e-03;  50; 51;0.5050
BANGLADESH              ;  95;3.64e-03;  39; 56;0.5895
COLOMBIA                ;  85;3.25e-03;  54; 31;0.3647
DENMARK                 ;  83;3.18e-03;  52; 31;0.3735
CHILE                   ;  80;3.06e-03;  60; 20;0.2500
ARGENTINA               ;  74;2.83e-03;  60; 14;0.1892
NIGERIA                 ;  59;2.26e-03;  42; 17;0.2881
NORWAY                  ;  59;2.26e-03;  32; 27;0.4576
MOROCCO                 ;  58;2.22e-03;  53;  5;0.0862
INDONESIA               ;  57;2.18e-03;  53;  4;0.0702
GEORGIA                 ;  54;2.07e-03;  46;  8;0.1481
JORDAN                  ;  51;1.95e-03;  34; 17;0.3333
PERU                    ;  50;1.91e-03;  35; 15;0.3000
LEBANON                 ;  49;1.88e-03;  29; 20;0.4082
NEPAL                   ;  47;1.80e-03;  30; 17;0.3617
QATAR                   ;  46;1.76e-03;  31; 15;0.3261
NEW ZEALAND             ;  45;1.72e-03;  33; 12;0.2667
ROMANIA                 ;  45;1.72e-03;  25; 20;0.4444
VIETNAM                 ;  37;1.42e-03;  19; 18;0.4865
CROATIA                 ;  36;1.38e-03;  28;  8;0.2222
RUSSIA                  ;  35;1.34e-03;  27;  8;0.2286
PHILIPPINES             ;  33;1.26e-03;  20; 13;0.3939
FINLAND                 ;  31;1.19e-03;  18; 13;0.4194
CZECH REPUBLIC          ;  25;9.57e-04;  14; 11;0.4400
IRAQ                    ;  24;9.19e-04;  15;  9;0.3750
OMAN                    ;  24;9.19e-04;   7; 17;0.7083
ETHIOPIA                ;  22;8.42e-04;  13;  9;0.4091
HUNGARY                 ;  22;8.42e-04;  13;  9;0.4091
SLOVENIA                ;  22;8.42e-04;  17;  5;0.2273
CYPRUS                  ;  20;7.66e-04;  12;  8;0.4000
SRI LANKA               ;  19;7.27e-04;  12;  7;0.3684
BRUNEI                  ;  15;5.74e-04;   6;  9;0.6000
SERBIA                  ;  15;5.74e-04;  13;  2;0.1333
KUWAIT                  ;  14;5.36e-04;   8;  6;0.4286
ECUADOR                 ;  13;4.98e-04;   4;  9;0.6923
GHANA                   ;  13;4.98e-04;   6;  7;0.5385
KENYA                   ;  13;4.98e-04;   6;  7;0.5385
ALGERIA                 ;  12;4.59e-04;   7;  5;0.4167
LUXEMBOURG              ;  12;4.59e-04;   2; 10;0.8333
MALTA                   ;  11;4.21e-04;  11;  0;0.0000
SUDAN                   ;  11;4.21e-04;  10;  1;0.0909
UGANDA                  ;  11;4.21e-04;   7;  4;0.3636
TUNISIA                 ;  10;3.83e-04;   9;  1;0.1000
ZIMBABWE                ;  10;3.83e-04;   5;  5;0.5000
LIBYA                   ;   9;3.45e-04;   9;  0;0.0000
BOSNIA                  ;   8;3.06e-04;   2;  6;0.7500
BAHRAIN                 ;   6;2.30e-04;   5;  1;0.1667
CONGO                   ;   6;2.30e-04;   2;  4;0.6667
LITHUANIA               ;   6;2.30e-04;   3;  3;0.5000
PANAMA                  ;   6;2.30e-04;   3;  3;0.5000
SLOVAKIA                ;   6;2.30e-04;   4;  2;0.3333
TANZANIA                ;   6;2.30e-04;   2;  4;0.6667
VENEZUELA               ;   6;2.30e-04;   3;  3;0.5000
ZAMBIA                  ;   6;2.30e-04;   3;  3;0.5000
BOLIVIA                 ;   5;1.91e-04;   0;  5;1.0000
KAZAKHSTAN              ;   5;1.91e-04;   4;  1;0.2000
MALI                    ;   5;1.91e-04;   0;  5;1.0000
MONTENEGRO              ;   5;1.91e-04;   5;  0;0.0000
UKRAINE                 ;   5;1.91e-04;   4;  1;0.2000
URUGUAY                 ;   5;1.91e-04;   4;  1;0.2000
AFGHANISTAN             ;   4;1.53e-04;   0;  4;1.0000
CAMEROON                ;   4;1.53e-04;   2;  2;0.5000
GUATEMALA               ;   4;1.53e-04;   0;  4;1.0000
ICELAND                 ;   4;1.53e-04;   3;  1;0.2500
MALAWI                  ;   4;1.53e-04;   0;  4;1.0000
MAURITIUS               ;   4;1.53e-04;   2;  2;0.5000
ALBANIA                 ;   3;1.15e-04;   2;  1;0.3333
BELARUS                 ;   3;1.15e-04;   3;  0;0.0000
BULGARIA                ;   3;1.15e-04;   3;  0;0.0000
GAMBIA                  ;   3;1.15e-04;   3;  0;0.0000
HONDURAS                ;   3;1.15e-04;   1;  2;0.6667
MALDIVES                ;   3;1.15e-04;   3;  0;0.0000
MONACO                  ;   3;1.15e-04;   0;  3;1.0000
MONGOLIA                ;   3;1.15e-04;   3;  0;0.0000
NICARAGUA               ;   3;1.15e-04;   2;  1;0.3333
RWANDA                  ;   3;1.15e-04;   1;  2;0.6667
SIERRA LEONE            ;   3;1.15e-04;   2;  1;0.3333
BARBADOS                ;   2;7.66e-05;   2;  0;0.0000
BENIN                   ;   2;7.66e-05;   0;  2;1.0000
CAMBODIA                ;   2;7.66e-05;   0;  2;1.0000
COSTA RICA              ;   2;7.66e-05;   1;  1;0.5000
DOMINICAN REPUBLIC      ;   2;7.66e-05;   2;  0;0.0000
GABON                   ;   2;7.66e-05;   1;  1;0.5000
JAMAICA                 ;   2;7.66e-05;   0;  2;1.0000
MYANMAR                 ;   2;7.66e-05;   2;  0;0.0000
PARAGUAY                ;   2;7.66e-05;   1;  1;0.5000
SENEGAL                 ;   2;7.66e-05;   0;  2;1.0000
YEMEN                   ;   2;7.66e-05;   2;  0;0.0000
ANDORRA                 ;   1;3.83e-05;   1;  0;0.0000
AZERBAIJAN              ;   1;3.83e-05;   1;  0;0.0000
BHUTAN                  ;   1;3.83e-05;   1;  0;0.0000
BOTSWANA                ;   1;3.83e-05;   0;  1;1.0000
BURKINA FASO            ;   1;3.83e-05;   0;  1;1.0000
BURUNDI                 ;   1;3.83e-05;   0;  1;1.0000
CENTRAL AFRICAN REPUBLIC;   1;3.83e-05;   1;  0;0.0000
CUBA                    ;   1;3.83e-05;   0;  1;1.0000
ESTONIA                 ;   1;3.83e-05;   1;  0;0.0000
FIJI                    ;   1;3.83e-05;   1;  0;0.0000
GUINEA                  ;   1;3.83e-05;   0;  1;1.0000
LATVIA                  ;   1;3.83e-05;   1;  0;0.0000
MACEDONIA               ;   1;3.83e-05;   1;  0;0.0000
SAMOA                   ;   1;3.83e-05;   1;  0;0.0000
SOMALIA                 ;   1;3.83e-05;   0;  1;1.0000
SYRIA                   ;   1;3.83e-05;   0;  1;1.0000
TOGO                    ;   1;3.83e-05;   0;  1;1.0000
TRINIDAD AND TOBAGO     ;   1;3.83e-05;   0;  1;1.0000
